14.6	11	11	11	17.2	13.6	11.2	12.4
14	8.6	6.2	7.4	17	18.1	13.2	15.65
15.4	10.5	7.4	8.95	16.8	20	13.6	16.8
15.9	9.5	7.2	8.35	16.7	19	14.5	16.75
17.3	9	6.1	7.55	16.6	23.4	17.2	20.3
23	14.3	12.3	13.3	16.6	27.1	22.5	24.8
22.6	18.2	17	17.6	16.9	24.9	19.4	22.15
19.4	14.8	11.5	13.15	17.3	22.1	17.3	19.7
17.5	14.8	14.1	14.45	17.5	21.1	14.6	17.85
17.2	14.6	14.2	14.4	17.6	21.7	15.6	18.65
18	11.2	8.7	9.95	17.5	22.8	15.8	19.3
18.4	9.1	6.3	7.7	17.5	23.8	15.9	19.85
19	14.1	13	13.55	17.5	23.8	14.9	19.35
16.3	14	12.7	13.35	17.7	22.5	16.3	19.4
20	16.8	15.2	16	17.8	24.3	17.6	20.95
18.7	12.6	10.1	11.35	17.9	24.5	18.1	21.3
18.9	11.1	9.3	10.2	17.9	23.8	17.8	20.8
20.4	15.5	13.2	14.35	17.9	23.6	16.7	20.15
17.2	13.2	11.1	12.15	18	24.2	16	20.1
20.2	15.5	14.5	15	18.1	22.9	14.9	18.9
15.9	8.9	5.4	7.15	18.3	19.4	12.2	15.8
14.6	9.2	7.9	8.55	18.2	18.3	14	16.15
15	9.5	7.1	8.3	18.1	17	13.6	15.3
16.6	10.9	7.6	9.25	17.8	17.9	14.6	16.25
16.6	13.1	11.5	12.3	17.6	18.1	12	15.05
14.2	8.8	6.8	7.8	17.4	19	12.8	15.9
14.9	6.2	4.7	5.45	17.2	18.4	13.4	15.9
15.8	13.5	13.3	13.4	17	20.3	15.7	18
17.3	15.3	12.3	13.8	17	23.7	15	19.35
17.9	9.3	7.3	8.3	17.1	25.6	16.1	20.85
20.4	11	8.5	9.75	17.2	28.3	19	23.65
19.2	12.8	9.5	11.15	17.4	28	18.3	23.15
18.3	14.9	13.6	14.25	17.6	27.1	15.8	21.45
20.4	15.4	13.5	14.45	17.8	30.3	20.2	25.25
21	12.7	11.4	12.05	18.1	29.2	17.5	23.35
23.9	15.6	14.1	14.85	18.3	30.9	20.3	25.6
21.4	15.3	14.3	14.8	18.6	25	21.4	23.2
22.1	17.5	16.3	16.9	18.7	23.5	17.6	20.55
17.8	15.4	15.6	15.5	18.8	16.8	13.1	14.95
14.6	7.5	5.9	6.7	18.7	19.1	13.7	16.4
14.8	13.2	12.3	12.75	18.4	17.5	14.5	16
16.6	11.7	10.2	10.95	18.1	22.3	15.4	18.85
15.8	12.5	10.5	11.5	18	19.8	15	17.4
17.1	14.4	13.8	14.1	17.9	21	16.9	18.95
17.5	15.2	15	15.1	17.8	18.8	12.1	15.45
15.7	11.5	10	10.75	17.7	19	15.6	17.3
17.7	15.9	15.1	15.5	17.5	17.8	14.3	16.05
14.4	10	8	9	17.3	17.6	11.3	14.45
12.5	6.3	4.2	5.25	17.1	15.5	11.6	13.55
12.1	9	7.3	8.15	16.9	16.2	10.9	13.55
16.6	11.1	9.2	10.15	16.6	19.7	16.1	17.9
17.4	13.9	12.3	13.1	16.4	20.2	14.6	17.4
